###❝에스페란토 어근❞, ❝(완전히 동일한) 에스페란토 어근❞   으로 구성된 행은、대응하는 치환 후 문자열이 존재하는 경우와 동일한 우선순위를 가지지만、 실제로는 문자열(한자) 치환을 수행하지 않는 것을 의미합니다.
에스페란토 어근##, 일본어 번역 루비##
lagri,잎벌레붙이
lahor,라호르
lakon,간결
lakun,공극
lala!,랄라!
lambd,람다
lamel,주름살
laoci,노자
lapar,복부
lapil,화산력
lapit,라피타이
lapon,라플란드
laser,레이저
latin,라틴어
latir,연리초
latis,격자
laton,레토
latre,라트레아속
lavab,세면대
lazar,라자로
laŭzi,노자
legac,유증
legum,꼬투리
lejte,레이테
leman,레만호
lemur,여우원숭이
lenin,레닌
leont,사자
lepad,거위목따개비속
lepid,레피두스
lesot,레소토
lestr,도둑갈매기
letal,치사
leton,라트비아
levid,레위인
leĝer,가벼운
leŭko,류코
liban,레바논
libid,리비도
libra,천칭자리
licen,부전나비속
lidar,라이다
ligaz,리가아제
ligul,잎혀
ligur,리구리아인
lilak,라일락
limed,스위트라임
limes,극한
limet,스위트라임
limin,역치
limit,지정가
limne,물달팽이속
limon,레몬
limoz,흑꼬리도요속
limoĝ,리모주
limul,투구게
lipar,리파리
lipaz,리파아제
lipid,지질
lipom,지방종
litin,수산화리튬
litot,완서법
litov,리투아니아
lived,청자색반
livid,청자색
livon,리보니아
lizin,라이신
lizip,리시포스
liĥen,태선
logan,로건
lokal,시설
loksi,솔잣새
lokus,자취
lolig,오징어
loren,로렌
loris,로리스속
lotos,로토스
loven,뢰번
luand,루안다
lubek,뤼베크
lucid,명료
lucin,루키나
lukan,사슴벌레
lukul,루쿨루스
lukum,로쿰
lumen,루멘
lumpi,춘권
lunat,월상골
lupen,루피너스
lupin,루피너스
lupus,루푸스
lusak,루사카
luzid,루시타니아인
luzon,루손
luzul,꿩의밥속
macer,침지
macis,메이스
madan,마다나
maduk,마두카속
magot,바바리마카크
mahut,코끼리몰이
majot,마요트
majur,마주로
makak,마카크
maket,모형
makis,마키
makro,거대
malab,말라보
malag,말라가
malaj,말레이
malak,말라카
malaĥ,말라기
malmi,말름
malon,말론산
malus,사과나무속
mamon,맘몬
manam,마나마
manas,므나쎄
manat,매너티
manes,마네스
maneĝ,승마장
mangl,맹그로브
manil,마닐라
manis,천산갑
manks,맨섬
mansi,멘
mantr,만트라
mantu,만토바
manĝu,만주
manĵu,만주
maori,마오리
maput,마푸투
marel,사방치기
marki,변경령
marks,마르크스
marod,절도
marok,모로코
maron,밤
marot,집착
marsk,해안저지
marŝ!,행진하다!
maser,메이저
maskl,수컷
masor,마소라
masoĥ,마조히즘
mazam,마자마사슴속
mazda,마즈다
mazep,마제파
mazut,중유
maĉet,마체테
maĝor,초과청약
maĵor,장조
maĵur,마주로
medin,메디나
mediĉ,메디치
mefit,스컹크
megal,비대
meger,악녀
megom,메가옴
mehar,경주낙타
mejoz,감수분열
mekan,기계
melan,멜라닌
meldu,흰가루병
melen,흑색변
melos,밀로스
menad,마이나스
menam,메남강
menur,거문고새
menzi,맹자
merin,메리노
merop,벌잡이새
merov,메로베우스
mesaĝ,메시지
mesin,메시나
metan,메탄
meten,메틸렌
meteo,기상
metil,메틸
metop,메토프
metri,측정
metro,미터
meĥan,기계
micel,미셀
micen,애주름버섯
micet,균
midas,미다스
migal,타란툴라
mijoz,구더기증
mikad,천황
miken,미케네
mikot,균문
mikoz,진균증
mikro,미세
mikst,혼합
milan,밀라노
milic,민병
mimik,몸짓
mimul,미물루스속
minor,단조
minos,미노스
minsk,민스크
miraĝ,신기루
miria,만
mirid,스위트시슬리
mirik,소귀나무속
misal,미사경본
misil,미사일
misur,미주리강
mitoz,유사분열
mitra,미트라
miĉel,미셀
mobil,이동
modal,양태
modem,모뎀
mogol,무굴
molar,어금니
molas,몰라세
moleĥ,몰렉
molis,몰리세
molok,몰록도마뱀
moloĥ,몰록
moluk,말루쿠
monad,모나드
monel,모넬합금
monem,형태소
moner,동전
monik,모니카
monom,단항식
moped,모페드
morav,모라비아
mordv,모르드바인
morel,장작받침
moren,빙퇴석
morfe,모르페우스
morfi,형태
moroz,시무룩한
morul,상실배
moskv,모스크바
mosul,모술
motel,모텔
motet,모테트
mozel,모젤강
mucid,곰팡내
mufti,무프티
muget,아구창
mugil,숭어
mukor,털곰팡이속
mulat,물라토
mumps,볼거리
muraj,머리
muren,곰치
musak,무사카
musli,뮤즐리
muson,몬순
mutil,절단
nabab,나와브
nabot,나봇
nacel,곤돌라
nadir,천저
nagoj,나고야
najad,나이아드
namib,나미브
namur,나무르
nandu,레아
napel,투구꽃
napol,나폴리
narak,지옥
nasaŭ,나소
naser,나세르
natal,나탈
natan,나단
navar,나바라
naved,셔틀
navet,북
nazal,비음
naĥum,나훔
nefud,네푸드
negeb,네게브
negus,너거스
neman,네만강
nemez,네메시스
neoti,새둥지란
nepal,네팔
neper,네이피어
nepet,개박하속
nepot,족벌
nerol,네롤
neron,네로
nevad,네바다
nevaj,만년설
nevis,네비스
nevus,모반
niame,니아메
nigel,흑종초
nihil,허무
nikab,니캅
nikol,니콜
nikte,흰올빼미
nimeg,네이메헌
nimes,님
ninev,니네베
ninŝa,닝샤
nipon,일본
nitel,니텔라속
niton,니톤
nivoz,니보즈
niĝer,니제르
nomes,노모스
nonan,노난
nopal,노팔
nordi,북유럽
noren,고대노르드
norit,노리토
notic,단평
notos,노토스
noval,휴경지
nudel,국수
nufar,왜개연꽃
nugat,누가
nukle,핵
nukul,소견과
numen,누멘
numid,누미디아
nuton,뉴턴
obadj,오바댜
obsed,강박
obten,획득
obtur,막다
obĵet,이의
odens,오덴세
odise,오디세이아
oestr,발정
ofeli,오필리아
ofiuk,뱀주인자리
ofiur,거미불가사리
ofset,오프셋인쇄
ojstr,양파리
okapi,오카피
okrom,발사나무속
oksim,옥심
oktan,옥탄
oktet,팔중주
olein,올레인
oleum,발연황산
oligo,소수
olimp,올림포스
ologi,학
omega,오메가
oment,그물막
omfal,옴팔레
omikr,오미크론
omlet,오믈렛
onagr,오나거
onisk,쥐며느리
oolit,어란석
oomot,오모토
opres,억압
optim,낙관
oraci,추도사
orcin,범고래속
ordam,질서애
ordin,서품
oread,산의님프
orest,오레스테스
orhav,금함유
oriel,돌출창
orion,오리온
orisi,오리사
orkad,오크니
orkid,고환
orlon,오를론
orlop,최하갑판
ornat,제의
ornit,새
oseti,오세티야
osian,오시안
oskar,오스카
oskul,접촉
osmer,빙어속
osmoz,삼투
ostaĝ,인질
ostin,오세인
ostom,골종
otari,남미바다사자
otomi,절개
ovari,난소
ovidi,오비디우스
oĥock,오호츠크
pacif,평화
padel,걷다
padov,파도바
padus,귀룽나무
paelj,파에야
pafos,파포스
pagaj,노
pagan,이교
pagel,파겔루스속
pagur,소라게
pajac,광대
pajen,파예나속
pajnt,파인트
palas,팔라스
palaŭ,팔라우
paled,팔레트
paleo,구
pamir,파미르
panak,인삼속
panam,파나마
pandu,판두
pange,판게아
panic,기장
panus,판누스
papaj,파파야
papaŭ,포포
papil,나비
papir,파피루스
papul,구진
paran,파라나강
parez,불완전마비
parfe,파르페
paris,삿갓나물속
paros,파로스섬
parsi,파르시
pasat,무역풍
patan,파슈툰인
patat,고구마
patel,슬개골
paten,성반
patin,녹청
patri,조국
pavan,파반느
pavez,현장
pecaj,배추
pegaz,페가수스
pekan,피칸
pekin,베이징
pelag,원양
pelot,펠로타
penal,벌칙
penat,페나테스
penis,음경
pense,팬지
penta,오
pepon,페포호박
permi,페름기
perni,동상
perse,아보카도속
peruĝ,페루자
perĉe,퍼치
pesim,비관
petal,꽃잎
petaz,페타소스
petit,쁘띠활자
petri,페트리
peziz,주발버섯속
pikas,피카소
pikup,픽업
pilad,필라데스
pilaf,필라프
pilat,빌라도
pilon,탑문
pilor,유문
pinan,피난
pinas,핀네스
pinat,우상
pinen,피넨
piore,농루
piper,후추속
pipet,피펫
pipin,피핀
piral,명나방
piram,피라모스
piran,피란
pirid,피리딘
pirik,단단격
pirog,통나무배
piron,피론
pirul,멋쟁이새속
pirus,배나무속
pitek,랑구르속
piton,비단뱀
pizon,피소
piĝin,피진
piĵam,파자마
plane,날개판
plasm,원형질
plate,플라타이아이
plazi,형성
plaŭt,플라우투스
plegi,마비
plejd,격자숄
pleks,신경총
pleŭr,흉막
plini,플리니우스
plint,받침대
ploce,베짜는새속
ploid,배수성
plomb,충전
plump,둔한
plute,난버섯속
pluvi,물떼새
plzen,플젠
poker,포커
polar,극성
polem,전쟁
polen,꽃가루
polit,정치
pomel,자루끝
pomer,포메라니아
pompe,폼페이우스
ponci,폰티우스
ponĝe,폰지
poriĝ,죽
potaĝ,포타주
prajm,뇌관
pranc,까불며 장난치다
preri,프레리
prest,프레스토
prez.,가격.
priam,프리아모스
priap,프리아포스
prikl,옮겨심기
print,프린트
prion,프리온
prist,톱가오리속
prof.,모독.
prokn,프로크네
prote,프로테아
proto,원
psidi,구아바속
psikr,건습
psoas,허리근
puatu,푸아투
puber,사춘기
pudor,수치심
pufin,슴새속
pulkv,풀케
pulul,대량번식
punik,석류속
puran,푸라나
purim,푸림절
purin,퓨린
pusan,부산
putin,매춘부
puŝtu,파슈토
pŝent,프셴트
rabet,턱홈
racem,라세미
racin,라신
radar,기어장치
radio,광선
radon,라돈
rajon,레이온
raked,라켓
rakit,구루병
ralik,돛가장자리줄
rampl,경사로
ramur,가지뿔
rastr,래스터
ratif,비준
ravin,협곡
razen,잔디
raĥel,라헬
raŭnd,라운드
rebek,리브가
recep,맹아베기
reces,오목
recif,헤시피
redut,보루
refer,연구발표
relaj,계전기
reliŝ,렐리시
remit,관해
remiz,차고
remiĝ,레미지오
remor,빨판상어속
renat,레나토
rened,레네트사과
renga,렌가
renin,레닌
renit,저항성
resus,붉은털원숭이
retro,후방
reuni,레위니옹
reviz,감사
rezid,상주
ribek,레벡
ricel,장물취득
rijet,리에트
rikiŝ,인력거
rikur,재귀
rileg,유배
riman,리만
rimes,송금
risol,리솔
rival,경쟁
rizom,근경
rizot,리소토
riĝel,리겔
robai,루바이
robaj,루바이
robot,로봇
robur,유럽참나무
rocel,로첼라속
rodan,론강
rodis,로도스섬
rodop,로도피산맥
rodos,로도스
rojal,왕당
romul,로물루스
rosin,건포도
rotor,회전자
rover,로버스카우트
rozet,로제트
roĉel,라로셸
roĝer,로제
ruand,르완다
rugbe,럭비
rugin,골막박리기
rukul,구구울다
rulet,룰렛
ruman,루마니아
rumen,반추위
rumor,웅성거림
rusul,무당버섯속
rutel,로치속
ruten,루테니아
rutil,금홍석
sabek,삼각금
saben,사비니
sabin,사비나향나무
sabot,방해
sabur,설태
sadhu,사두
safen,복재
sahar,사하라
sahib,사히브
sakar,당
saksi,작센
sakur,벚나무
salam,살라미
samar,시과
samol,사몰루스속
samos,사모스섬
sampl,표본
samum,사막열풍
sandr,잔더
sapek,사페크
saper,공병
sapor,맛
sapot,사포테
sarak,무우수속
sardi,사르데냐
sartr,사르트르
sasan,사산
saseb,사세보
savan,사바나
savoj,사보이
saŝim,사시미
scink,스킹크속
scirp,고랭이속
seanc,세션
seatl,시애틀
sebac,세바스산
sedec,십육절
seism,지진
sekoj,세쿼이아
sekst,6도음정
selen,셀레늄
selin,셀리눔속
semel,세멜레
semid,셈
semio,기호
semol,세몰리나
senek,세네카
senil,노쇠
sepal,꽃받침
separ,분리
sepen,칠
serak,세락
seran,세라누스속
serap,세라피스
serat,톱니근
serif,세리프
serin,카나리아속
serum,혈청
sesil,무병
seter,세터견
seton,세톤
sevil,세비야
sezam,참깨
sezel,세셀리속
sfagn,물이끼속
sfigm,맥박
sfing,박각시
sibil,시빌라
sider,항성
sidon,시돈
siest,낮잠
sikim,시킴
sikst,식스토
silan,실란
silen,장구채
silib,밀크시슬속
silic,실리카
silog,삼단논법
simon,시몬
simul,시뮬레이션
simun,시문
sinaj,시나이
sintr,소결
sinus,굴
sipaj,세포이
sirok,시로코
sisal,사이잘삼
sisop,시스옵
sistr,시스트럼
sizar,스커릿
sizif,시시포스
siĥem,세겜
skajp,스카이프
skald,스칼드
skand,운율분석
skeld,스헬더강
skink,스킹크
skirp,고랭이속
skist,편암
skiti,스키티아
skler,경화
skold,꾸짖음
skoli,고주
skolt,정찰
skopi,검사법
skopj,스코페
skori,광재
skrot,음낭
skual,스콜
skunk,스컹크
skval,돔발상어
skvar,소공원
skvaŝ,스쿼시
slang,속어
slojd,공예교육
slugi,슬루기
smalt,스말트
smirg,금강사
smirn,스미르나
snejl,복족류
sobir,하강
socin,소치니
sodom,항문성교
sofit,소핏
sofor,회화나무속
solan,가지
soliv,장선
solon,솔론
somal,소말리
somat,신체
sombr,음울
sopor,혼미
sorab,소르브인
sorir,상승
sorit,연쇄논법
sovet,소비에트
spahi,스파히
spajr,첨탑
spark,스파크
spart,스파르타
speci,종
spekt,관람
spele,동굴
spelt,스펠트밀
spire,조팝나무속
spit!,…에도 불구하고!
splis,스플라이스
spont,자발
spraj,스프레이
spros,새싹
sprot,스프랫
spurt,스퍼트
stagn,정체
staki,석잠풀
stakt,성향료
stamf,발구르기
stanc,스탠자
stand,전시대
stapl,집적
staŭd,여러해살이
staŭl,실속
stear,동물지방
steat,지방
stele,석비
stere,입체
steto,흉부
stift,핀
stigm,주두
stiks,스틱스
stilb,스틸브
stilz,죽마
stink,악취
stiri,슈타이어마르크
stomi,누공
stomp,문지름
stop!,정지!
stras,인조보석
stres,스트레스
stret,좁음
strid,삐걱소리
strob,스트로브잣나무
strom,기질
strum,갑상샘종
studi,연구하거나 학문을 공부하다
stupa,스투파
stupr,강간
sturm,돌격
suber,코르크층
sudan,수단
sufle,수플레
sufuz,유출
sukub,서큐버스
sukur,응급
sulki,설키
sumak,옻나무속
sumer,수메르
sunzi,손자
supin,회외
susan,수잔
sutur,봉합
suĝoŭ,쑤저우
svazi,스와지
svelt,날씬
tabet,척수로
tabor,타보르산
tacit,타키투스
taget,만수국속
tajpe,타이베이
takel,도르래장치
taksi,평가하다
talam,시상
talar,법복
tales,탈레스
talib,탈레반
talin,탈린
talon,부본
talus,성토
tamil,타밀
tamiz,템스강
tamul,타밀
tanka,단카
tantr,탄트라
tapir,맥
tapsi,탑시아속
tarav,타라와
tarim,타림
tarsi,안경원숭이속
tartr,주석
tatam,다다미
tatar,타타르
tazet,수선화
taĝet,만수국속
taĝik,타지크
taŭon,타우입자
tekil,데킬라
teleo,목적
telur,텔루륨
tembr,음색
temis,테미스
tenac,끈질긴
tenar,지구
tendr,탄수차
tened,테네도스
tenis,테니스
tenno,천황
tenon,장부
tensi,장력
tenur,봉건보유
teorb,테오르보
tepal,화피편
tepid,미지근함
terat,기형
terbi,터븀
terci,3도음정
tered,배좀벌레조개속
terez,테레사
termi,체온
tetis,테티스
tiber,티베르
tibet,티베트
tibul,티불루스
tiest,티에스테스
tifon,태풍
tikso,틱소
tilit,빙력암
timal,그레일링속
timbu,팀푸
timid,소심
timin,티민
timol,티몰
timor,티모르
timur,티무르
timus,흉선
tinam,티나무
tinus,참치
tipul,각다귀
tiren,티레니아
tirol,티롤
tirte,티르타이오스
titan,타이타늄
tizan,탕약
tiĉin,티치노
tjurk,튀르크
tlasp,말냉이속
toast,토스트
tobag,토바고
togol,토고
tokaj,토카이
tokat,토카타
tokel,동심백선
toled,톨레도
toman,토만
tomas,토마스
tonem,성조소
tonik,으뜸음
tonus,긴장
topik,화제
topor,큰도끼
torak,흉곽
torij,도리이
torin,토리노
total,전체의
totem,토템
toĥar,토하라어
toŭfu,두부
trace,노선축
trake,기관
tramp,부랑자
tranc,트랜스
traŭb,포도
traŭm,외상
trema,분음기호
trent,트렌토
triad,삼화음
trias,트라이아스기
tribo,마찰
trici,트리튬
trigl,성대속
trili,연영초속
tring,도요속
triod,삼극관
trips,총채벌레속
trism,개구장애
trist,슬픈
triti,트리튬
troad,트로아스
trock,트로츠키
trofi,영양
trofo,영양
trogi,책다듬이
troil,트로일로스
troji,트로이
troke,강약격
trole,트롤리
troli,금매화속
trump,스퀸치
tudor,튜더
tujan,투얀
tujol,투욜
tujon,투욘
tukan,큰부리새
tulon,툴롱
tuluz,툴루즈
tumor,종양
tumul,봉분
tundr,툰드라
tuniz,튀니스
turen,투렌
turne,순회공연
tuval,투발루
ubikv,광적응성
ugand,우간다
ugvis,휘파람새
ujgur,위구르
uleks,가시금작화
ultra,초
umbel,산형화서
umbri,움브리아
umjak,우미아크
undin,물의요정
unesk,유네스코
ungol,조부
uniks,유닉스
unuar,일성분
unuel,민중의하나
upsal,웁살라
upsil,입실론
urani,우라늄
uremi,요독증
uretr,요도
ureus,우라에우스
ursul,우르술라
uruŝi,옻
ustaŝ,우스타샤
usuri,우수리강
uzanc,관행
uzbek,우즈베크
vaduc,파두츠
vaduz,파두츠
vagin,질
vaiŝj,바이샤
vaker,카우보이
valaĥ,왈라키아
valer,발레릴
valez,발레주
valin,발린
valon,왈롱
valut,통화
vanad,바나듐
vanda,반다속
vanes,네발나비속
varan,왕도마뱀
varap,암벽등반
varik,정맥류
varmo,열
varun,바루나
veber,베버
vedel,웨들
vegan,비건
velar,연구개음
venad,팜파스사슴
vende,방데
vener,성병
venus,금성
veron,베로나
versi,견해
vesel,전함
vespr,저녁기도
vezer,베저강
vibri,비브리오속
vicer,수열항
vidam,구경좋아함
vigil,밤새우다
vikar,대리종
vikun,비쿠냐
vimen,버들가지
vimpl,페넌트
vinil,비닐
vipak,이숙
viroz,바이러스병
virus,바이러스
vital,생명
vitel,난황
vitre,유리체
viver,사향고양이속
vizon,밍크
viŝnu,비슈누
vogez,보주산맥
volan,깃털
volta,볼타
volte,원형회전
volut,소용돌이장식
vomer,서골
vomit,황열병
votan,보탄
vring,비틀어짜다
vuhan,우한
vultu,얼굴충혈
zadig,자디그
zambi,잠비아
zekin,제키노
zelot,열심당
zemlj,젬랴
zenan,제나나
zener,제너
zenon,제논
zeŭgm,제유그마
zibet,사향고양이
zigen,알락나방속
zigom,광대뼈
zigot,접합자
zizif,대추
zoarc,등가시치속
zohar,조하르
zonul,소대
zurik,취리히
ĉador,차도르
ĉajot,차요테
ĉaled,샬레
ĉalet,샬레
ĉanoj,다도
ĉarel,지게차
ĉatni,처트니
ĉenaj,첸나이
ĉenil,셔닐
ĉestr,체스터
ĉeĉen,체첸
ĉeĝud,제주도
ĉibuk,긴담뱃대
ĉikag,시카고
ĉilia,칠레
ĉizoj,금속가위
ĉoper,찍개
ĉopsu,찹수이
ĉukot,추코트
ĉurov,고환
ĉuvaŝ,추바시
ĝafar,자파르
ĝahan,자한
ĝansu,장쑤
ĝanŝi,장시
ĝemin,쌍생
ĝenev,제네바
ĝenov,제노바
ĝigol,지골로
ĝihad,지하드
ĝilin,지린
ĥagaj,학개
ĥalde,칼데아
ĥanoĥ,에녹
ĥanuk,하누카
ĥasid,하시드
ĥeder,헤데르
ĥetid,히타이트
ĥimen,히메나
ĥiram,히람
ĥitin,키틴
ĥiton,키톤
ĥomer,호멜
ĥoral,코랄
ĥoreb,호렙
ĥuram,후람
ĵabot,자보
ĵerom,제롬
ĵeton,토큰
ĵeĵud,제주
ĵingl,징글
ĵoker,조커
ĵorur,조루리
ĵuras,쥐라
ŝabat,안식일
ŝaduf,샤두프
ŝakdo,샤쿠도
ŝakti,샥티
ŝalot,샬롯
ŝaman,샤먼
ŝamot,샤모트
ŝampu,샴푸
ŝanel,수로
ŝanŝi,산시
ŝarif,샤리프
ŝaron,샤론
ŝelak,셸락
ŝerif,보안관
ŝeĥem,세겜
ŝiler,실러
ŝinto,신토
ŝitak,표고
ŝjian,시안
ŝlagr,유행가
ŝmac',쪽소리'
ŝmalc,슈말츠
ŝmink,화장
ŝnaps,슈냅스
ŝogun,쇼군
ŝopen,쇼팽
ŝovin,배외
ŝpros,창살대
ŝtanc,프레스컷
ŝtern,제비갈매기
ŝtorm,거센 폭풍
ŝtreb,버팀벽
ŝumŝu,슘슈
ŝunem,수넴
ŝuŝan,수산
ŝvabi,슈바벤
ŝvabr,대걸레
ŝvarc,슈바르츠
abak,주판
aboc,알파벳
abol,폐지
abuĝ,아부자
acet,아세틸
acin,샘방
acis,아키스
acor,아소르스
adam,아담
adaĝ,아다지오
aden,샘
adip,지방
adiĝ,아디제
adob,어도비
adon,아도나이
adri,아드리아
afar,아파르
afid,진딧물
afin,친화
afis,진딧물
afor,아포리즘
agam,아가마
agap,아가페
agar,한천
agav,용설란
agni,아그니
agor,아고라
aha!,아하!
ahur,아후라
aiks,엑스
aizo,아전
ajnu,아이누
ajug,조개나물
ajun,엘아이운
ajut,노즐
akab,아카바
akad,아카드
aken,수과
akil,아킬레스
akme,극기
akne,여드름
akor,창포
akre,에이커
akte,노루삼
alah,알라
alce,접시꽃
alel,대립유전자
aler,차양
alet,날개편
alez,리머가공
alfa,알파
algi,통증
alic,앨리스
alil,알릴
alis,알리숨
alit,산파두꺼비
aliz,마가목
alka,바다오리
alme,알메
alod,알로디움
aloj,합금
aloz,알로사
aman,암만
ambl,측대보
ameb,아메바
amen,아멘
amfi,단각
amid,아마이드
amil,아밀
amin,아민
amiŝ,아미시
amni,양막
amok,아모크
amom,아모뭄
amon,아몬
amos,아모스
amur,아무르
anal,연대기
anam,안남
anem,바람
anet,딜
angi,맥관
anil,인디고
anod,양극
anon,아노나속
anti,반
antr,동
anub,아누비스
anur,무미목
anus,항문
anzu,살구
anĵu,앙주
aost,아오스타
apaĉ,아파치
apel,호소
apik,가파름
apis,아피스
apne,무호흡
apus,칼새
arab,아랍
arak,아락
aral,아랄해
aras,아라스
arek,빈랑
ares,아레스
arid,건조
aril,가종피등
arin,아린
arka,고풍
arke,방주
arki,대
arkt,북극 지방의
ark…,활 모양…
arog,월권
arok,캐슬링
artr,관절
arum,아룸속
arĥa,고풍
arĥe,고고
arĥ…,ark참조…
asam,아삼
asir,아시리아
asiz,순회재판
aski,아스키
asok,아쇼카
aspr,거칠다
atav,격세유전
atel,거미원숭이
aten,아테네
atik,아티카
atil,아틸라
atm.,아트만.
atol,환초
atre,아트레우스
atri,심방
aval,배서보증
avan,전위
avis,통보함
aviĉ,아비지옥
azar,족도리풀
azel,아젤라산
azid,아자이드
azol,물개구리밥속
azor,아소르스
azov,아조프
aĥab,아합
aĥaj,아카이아
aĥen,아헨
aĥil,아킬레스
aĵur,투각
aŝar,아차르
aŝok,아쇼카
aŝur,아슈르
aŭgi,아우게이아스
baal,바알
baba,바바케이크
bac!,탁!
baf!,흥!
bagn,유형장
bagr,준설기
baha,바하이
bahi,바이아
baht,바트
bajt,바이트
bakb,통킹
baku,바쿠
bakĥ,바쿠스
balg,주름통
bali,발리섬
balt,발트
balz,발사
balĥ,발흐
band,밴드
bang,방기
banĝ,밴조
bari,바륨
bart,고래수염
barĝ,바지선
basi,댑싸리
bass,배스
batu,몰이사냥
baŝo,마쓰오 바쇼
baŭd,보드
baŭm,앞발들기
beat,복자
belg,벨기에
belt,벨트해협
bent,저서
beot,보이오티아
berm,소단
bern,베른
beta,베타
bias,편향
bide,비데
biel,연결봉
bigl,비글
biks,아나토속
bilĝ,빌지
biom,생물군계
birg,야자집게
birm,미얀마
bis!,앙코르!
blag,허풍
blaz,문장
blez,블루아
blin,블리니
blit,명아주
blog,블로그
bluf,허세
blus,블루스
blut,체질하다
boac,순록
boaz,보아스
bodi,보리
bold,볼도
bolt,볼트
bong,봉고
bonn,본
bont,임멜만턴
bonz,승려
bops,보그
bore,보레아스
born,단자
bosn,보스니아
boĝi,보기
bras,브레이스
braz,경납땜
braĉ,고대바지
braĝ,잉걸불
brev,교황소칙
brez,브레이즈
brig,브리그
brit,영국
briz,산들바람
briĝ,브리지
brok,브로케이드
brum,안개
bruĝ,브뤼허
buda,부처
budd,부처
budh,부처
bufr,완충
bugl,뷰글
bugr,남색
buks,회양목
bule,불
bull,물집등
bum!,붐!
bunt,알록달록
burg,성채
burk,부르카외투
buro,국
burs,작은주머니
burĥ,부르카
bute,말똥가리
buĝi,부지
buĥt,부흐텔
cece,체체파리
cefe,세페이드
ceib,케이바속
celt,켈트인
cens,인구조사
ceri,세륨
cest,고대권투장갑
cezi,세슘
cian,시안
cili,섬모
cinn,킨나
cion,시온
cipr,키프로스
circ,키르케
cist,쓸개
cito,세포
dada,다다
dafn,서향
daki,다키아
dama,다마사슴
damn,저주
damp,제동
dana,다나오스
dant,단테
dari,다리우스
darm,법
daŭb,통널
daŭh,도하
daŭk,당근속
deci,데시
defi,도전
degn,윤허하다
degu,대구
deka,십
delf,델포이
delt,델타
deng,뎅기열
derm,피부
devi,일탈
dian,디아나
dias,이첩계
dieg,디에고
dien,다이엔
dies,올림표
dilu,희석
ding,딩고
diod,다이오드
dion,디온
dipn,폐어류
dirk,자물쇠따개
dirt,더러운
dism,십일조
dist,먼
doha,도하
dojn,도이나
dokt,박식
doli,달리
dong,동
dori,도리아
dovr,도브레산지
drab,꽃다지속
drag,용
drav,드라바
draĵ,뿌리싹
dren,배수
dril,드릴
driv,표류
drol,익살
drom,경주로
dros,타륜줄
drum,드럼
drup,핵과
druz,정동
duar,유목천막
dubl,대역
dufl,더플코트
dukt,관
duma,두마
duon,절반
duri,두리안속
dvin,북드비나
dzet,제타
east,동쪽
ebol,에볼라
ebul,삭조
edam,에담
edem,부종
edil,조영관
edip,오이디푸스
edom,에돔
efeb,에페보스
efez,에페소스
efod,에봇
ehe!,아하!
ekin,성게
eks!,전임!
ekto,외부
ekz.,예.
ekzo,외부
elam,엘람
elan,기세
elap,산호뱀속
elij,엘리야
elim,갯보리
elit,엘리트
eliz,생략
eliŝ,엘리사
elna,북미에스페란토연맹
eman,방출
emid,늪거북
emil,에밀
emir,에미르
enad,작은숲비둘기
endo,내부
engl,앵글인
eoli,아이올리스
eost,동쪽
epik,서사시
epir,에피루스
epod,에포드
epos,서사시
erat,에라토
erbi,에르븀
ereb,에레보스
erin,에린
erod,침식
eros,에로스
erot,성욕
erud,박식하게하다
eruk,루콜라
esav,에서
esen,에센
esp.,에스페란토.
etan,에탄
eten,에텐
etil,에틸
etin,아세틸렌
etos,에토스
etri,공간복사
etud,연습곡
etuv,항온기
etuz,개독미나리속
ezop,이솝
eĥin,성게
eŭbe,에우보이아
eŭme,에우마이오스
eŭsk,바스크
fabi,파비우스
faci,안면
fadu,파두
fajn,섬세
faks,팩스
falt,주름
falv,연노랑
fang,늪진흙
fant,잭
farĉ,소
fasm,대벌레
faŭl,반칙
faŭn,동물상
faŭv,야수파
feak,파이아케스인
febl,약함
fedr,파이드로스
fein,요정
fek!,똥!
felp,플러시천
ferl,돛접기
fero,금속 원소 철
fidi,신뢰하다
fidr,급전선
fifr,파이프
file,안심
filo,아들
fini,끝내다
finn,핀란드
fint,페인트
fiol,작은병
firn,만년설
fisi,핵분열
fizi,자연
fiĝi,피지
flak,물웅덩이
fleb,정맥
fles,유럽가자미
fliŝ,플리시
flog,플로가속
flot,함대
flus,밀물
fobi,공포증
foin,담비
fold,홈
foni,무선전화
forc,온
foru,푸에로
fosf,인
foto,빛
fove,오목
fram,프레임
frej,프레이야
fret,뇌문장식
frez,밀링
frid,냉
frig,프리기아
frin,프리네
fris,프리지아
frog,철차
frok,수도복
ftal,프탈
ftir,사면발니속
fuel,연료
funk,펑크
furz,방귀
fust,기둥몸체
fuze,신관
fuzi,핵융합
gabi,돌망태
gabl,박공
gabr,반려암
gael,게일
gage,중의무릇속
gain,시스
galb,곡선윤곽
gale,게라
galg,갈레가속
gali,갈륨
gall,갈리아
gama,감마
gamb,사람이나 동물의 다리
gami,혼인
gana,가나
gang,맥석
gari,가리아속
gatj,가차바지
gavi,아비
gaza,가자
gaŭl,갈리아
gaŭr,가우르
gaŭs,가우스
gaŭĉ,가우초
gaŭĝ,게이지
gebr,게브르
gejŝ,게이샤
gelf,겔프파
genr,성
geod,정동
gerd,게르다
